w1,w2,w3,FOM,PM,UBW,power,ts,DC_gain
7.000000000000001e-07,3.947979240625548e-06,2.8621308013513708e-06,413.5767621890351,70.33169806240242,7943282347.2428665,0.00024997322905469027,3.411026913924717e-10,8.80161161756498
7.000000000000001e-07,6.897225580465809e-06,6.713527668838687e-06,362.3219573961661,73.27334673541866,5011872336.272755,0.0002558400912097907,5.474331941345388e-10,9.249126591614122
7.000000000000001e-07,6.371727695690491e-07,3.81791600416703e-06,342.6932154993544,88.1713141803416,3981071705.5349975,0.0002142567430149404,4.883172797128517e-10,4.277988943165862
7.000000000000001e-07,3.530902939551477e-06,2.710966629157459e-06,423.70464695117334,66.9275728917926,10000000000.000065,0.00024868604345643574,3.3794449305309414e-10,8.609401730068544
7.000000000000001e-07,5.223063429320943e-07,6.285608072642678e-06,285.23327784552913,90.75175476274022,2511886431.5095954,0.00020711419153739757,8.122810933829224e-10,3.618405406747471
7.000000000000001e-07,5.699582040724865e-06,2.1653216850887403e-06,401.93998928662126,66.99691032808371,7943282347.2428665,0.0002533058489414641,4.155845596371083e-10,9.315071857667208
7.000000000000001e-07,5.063523837794151e-06,2.647773071973586e-06,395.5505720323923,67.80316264865777,7943282347.2428665,0.00025241610381532373,4.569672885445829e-10,9.197140145084465
7.000000000000001e-07,6.367471243105295e-06,1.6230788958731548e-06,429.6824448150826,67.61129325569269,7943282347.2428665,0.00025392912827400715,2.681741018203867e-10,9.230779718810856
7.000000000000001e-07,3.5855115705799364e-06,2.3498210625415415e-06,426.9117102255088,66.94748087715493,10000000000.000065,0.0002487034053633511,3.2264031147639897e-10,8.64203192111631
7.000000000000001e-07,4.893425348931456e-06,2.9778179154904553e-06,392.95159863242515,68.03672490109967,7943282347.2428665,0.0002521996056954764,4.7399189114331e-10,9.13945507905015
7.000000000000001e-07,3.0596872339076596e-06,6.6908457139498785e-06,385.6721194294432,75.14049123251905,6309573444.801973,0.00024775116795522985,4.189455677034842e-10,7.893196917011775
7.000000000000001e-07,7.935385400553294e-06,4.752122674296421e-06,377.95927363069234,66.71174960073165,6309573444.801973,0.0002567552169425866,5.136731835408163e-10,9.602841378236288
7.000000000000001e-07,4.0228567669926595e-07,3.5961169392391148e-06,329.24673672587073,89.82574280783051,3162277660.168399,0.00019368168723421508,5.25224e-10,3.407667729929011
7.000000000000001e-07,5.644981877425573e-07,2.705414233217727e-06,354.23846356971956,84.83736225517045,5011872336.272755,0.00020885213071926233,4.910374809950373e-10,4.162875687272811
7.000000000000001e-07,6.670542324791178e-06,6.534913618259446e-06,374.2113958488877,68.97645293780475,6309573444.801973,0.00025554822196336227,5.318438245786232e-10,9.224077461124812
7.000000000000001e-07,1.1861188594952429e-06,3.985341061964549e-07,411.2542997734863,85.21589268623529,12589254117.941755,0.00022332678441285347,2.4989601022944397e-10,2.932599000161605
7.000000000000001e-07,2.751611002229153e-06,2.739546386420097e-06,446.843401159464,68.61261809590364,10000000000.000065,0.0002456788957276544,2.3137453899058665e-10,8.108205777161066
7.000000000000001e-07,9.010791993899267e-07,3.5526322539686555e-06,366.78384205962544,79.37949945722022,6309573444.801973,0.0002251806644877316,4.823478941523054e-10,5.159915316733596
7.000000000000001e-07,5.762747553955301e-06,8.298961716268192e-07,420.09645724096566,76.29598397699436,7943282347.2428665,0.0002517076688321363,2.6733775192496337e-10,7.483750375323551
7.000000000000001e-07,7.541221541273691e-06,6.479707611733953e-06,342.23069910920935,72.26278939167486,5011872336.272755,0.00025654114045532255,7.494344403071478e-10,9.37881069926811
7.000000000000001e-07,3.1441448234067814e-06,7.990561530337936e-06,375.76416870123796,78.62014666200614,5011872336.272755,0.00024818454652150246,4.140704567330811e-10,7.826424240153674
7.000000000000001e-07,4.47970620288924e-06,7.872072977416125e-06,385.2656126341736,76.76347939982648,5011872336.272755,0.0002520184563452308,3.7097916910252405e-10,8.50609464841639
7.000000000000001e-07,4.552245401405768e-06,3.2589359329420266e-06,388.30551009440563,68.72218494295446,7943282347.2428665,0.0002515694510338464,5.057960501590865e-10,9.010363194760007
7.000000000000001e-07,8.647247424101776e-07,1.0644925018113709e-06,396.2700134308229,74.85434071021919,10000000000.000065,0.0002212020355138568,4.3192917668583237e-10,5.157084557680071
7.000000000000001e-07,5.483512694712877e-06,1.7938154994653922e-06,400.78295895245424,67.99555769378148,7943282347.2428665,0.00025272361152611046,4.195608471209641e-10,9.166746691918993
7.000000000000001e-07,4.882292432178394e-07,7.286222124506597e-06,271.1575558343735,93.40733888450166,1995262314.9688916,0.00020434698951988394,8.494954139916824e-10,3.4218991520159934
7.000000000000001e-07,7.740092103712598e-06,3.4108553944183517e-06,388.40092810715566,67.15493641834803,6309573444.801973,0.00025632224553953924,4.4204711735517843e-10,9.684075903268475
7.000000000000001e-07,4.022945915771261e-06,8.508553396978993e-07,423.4289952630497,73.61743504042684,10000000000.000065,0.0002481600809580984,3.016169927037231e-10,7.389927686045215
7.000000000000001e-07,3.2412059486193966e-06,6.437986727209915e-06,367.46208854434315,74.97689230034653,6309573444.801973,0.00024840902947243193,5.592684139943758e-10,8.039151519179313
7.000000000000001e-07,1.9537101606248766e-06,1.6575861146033954e-06,408.85993652338277,71.64645031005597,10000000000.000065,0.0002400674693261948,3.9917096609311244e-10,7.300687697039662
7.000000000000001e-07,4.710408317745714e-06,3.4745242473313084e-06,389.5748811242774,68.32733420772932,7943282347.2428665,0.00025196325651022583,4.960401470381082e-10,9.045767235019113
7.000000000000001e-07,7.731285075407778e-06,5.63859026702627e-06,374.82646711334155,67.13581212889298,6309573444.801973,0.00025665780637232257,5.342412378267392e-10,9.488426118710194
7.000000000000001e-07,5.967878063187744e-06,7.814611488781384e-06,356.958651412005,74.43849955528043,5011872336.272755,0.0002546931895130322,5.845127716466585e-10,8.955852469462195
7.000000000000001e-07,1.542231888037853e-06,5.398065300408158e-06,335.45912029377894,82.75569377785365,5011872336.272755,0.00023755548137783427,7.120074870032252e-10,6.3742145173193245
7.000000000000001e-07,2.6078951305967846e-06,5.444374401178015e-06,359.6321703457015,76.67939621698126,6309573444.801973,0.00024560382549387795,6.219000255143069e-10,7.678132835088311
7.000000000000001e-07,4.077902035456709e-06,7.947822473834829e-06,382.54033452864235,77.33610800949177,5011872336.272755,0.000251066527223362,3.834725501612022e-10,8.33473272361887
7.000000000000001e-07,7.757524544608018e-06,2.799665642207592e-06,392.2710937695874,67.36746853337134,6309573444.801973,0.0002561730487258513,4.1751916791722037e-10,9.698112753421352
7.000000000000001e-07,1.680297036028104e-06,7.577185021010836e-06,348.5042060230362,84.71186214423771,3981071705.5349975,0.00023932406674191203,4.93116920081239e-10,6.384163955027921
7.000000000000001e-07,4.607647743397451e-06,3.998774352556163e-06,386.95990344193893,68.50355945149697,7943282347.2428665,0.0002518588501717679,5.127989926680072e-10,8.958635282746155
7.000000000000001e-07,2.56125378721256e-06,2.343202680542857e-06,446.3807866208581,69.26348406260607,10000000000.000065,0.0002445499185227055,2.319860263496795e-10,7.970795061820813
7.000000000000001e-07,3.2903377438363e-06,6.697738921788937e-06,387.4412037544597,74.77450179596535,6309573444.801973,0.00024860920428170516,4.1104995557835677e-10,8.043041255519583
7.000000000000001e-07,1.1621920815209846e-06,6.425055902218309e-06,342.42431218169236,85.6315919841311,3981071705.5349975,0.0002321134705070316,5.118121977918657e-10,5.513458206480779
7.000000000000001e-07,2.7572821476848045e-06,7.31236268765566e-06,372.7769957273214,79.6209974955306,5011872336.272755,0.00024652420113552547,4.2948321320631726e-10,7.607155129178919
7.000000000000001e-07,4.6662044531954514e-06,6.835689333568621e-06,397.2044000666427,72.38854724642864,6309573444.801973,0.0002523421835726716,3.647874746379737e-10,8.67248463743017
7.000000000000001e-07,7.319033628461562e-07,2.1002817120083891e-07,-588.771382733691,179.99999999552585,1.0,0.00019202342926407664,6.647200000000001e-11,0.46505551130354544
7.000000000000001e-07,5.7769196443985335e-06,3.395199945409068e-06,420.39885986762044,66.1994817634539,7943282347.2428665,0.0002538599165510944,3.124869435884338e-10,9.345402463142568
7.000000000000001e-07,4.030988810134534e-07,6.001319497079481e-06,273.44253502090555,94.15521899767155,1995262314.9688916,0.00019474725006911442,8.522243588838398e-10,3.1827868502137173
